221.40,3.0789
221.75,3.0893
222.10,3.0990
222.45,3.1082
222.80,3.1168
223.16,3.1247
223.51,3.1321
223.87,3.1390
224.22,3.1453
224.58,3.1510
224.94,3.1563
225.30,3.1610
225.66,3.1652
226.03,3.1690
226.39,3.1722
226.76,3.1751
227.12,3.1775
227.49,3.1795
227.86,3.1811
228.23,3.1824
228.60,3.1832
228.97,3.1838
229.35,3.1840
229.72,3.1839
230.10,3.1835
230.47,3.1828
230.85,3.1819
231.23,3.1807
231.61,3.1792
231.99,3.1776
232.38,3.1757
232.76,3.1736
233.15,3.1714
233.54,3.1689
233.92,3.1663
234.31,3.1636
234.70,3.1607
235.10,3.1577
235.49,3.1546
235.89,3.1513
236.28,3.1480
236.68,3.1445
237.08,3.1410
237.48,3.1374
237.88,3.1337
238.28,3.1300
238.69,3.1262
239.09,3.1224
239.50,3.1185
239.91,3.1145
240.32,3.1106
240.73,3.1066
241.14,3.1026
241.56,3.0985
241.97,3.0945
242.39,3.0904
242.81,3.0864
243.23,3.0823
243.65,3.0782
244.07,3.0742
244.50,3.0701
244.93,3.0660
245.35,3.0620
245.78,3.0580
246.21,3.0540
246.64,3.0500
247.08,3.0460
247.51,3.0421
247.95,3.0382
248.39,3.0343
248.83,3.0304
249.27,3.0266
249.71,3.0227
250.15,3.0190
250.60,3.0152
251.05,3.0115
251.50,3.0078
251.95,3.0042
252.40,3.0006
252.85,2.9970
253.31,2.9935
253.77,2.9900
254.22,2.9866
254.69,2.9831
255.15,2.9798
255.61,2.9764
256.08,2.9732
256.54,2.9699
257.01,2.9667
257.48,2.9635
257.96,2.9604
258.43,2.9573
258.91,2.9543
259.38,2.9513
259.86,2.9483
260.34,2.9454
260.83,2.9425
261.31,2.9397
261.80,2.9369
262.29,2.9341
262.78,2.9314
263.27,2.9287
263.76,2.9261
264.26,2.9235
264.76,2.9210
265.26,2.9185
265.76,2.9160
266.26,2.9136
266.76,2.9112
267.27,2.9088
267.78,2.9065
268.29,2.9042
268.80,2.9020
269.32,2.8998
269.84,2.8977
270.36,2.8955
270.88,2.8934
271.40,2.8914
271.92,2.8894
272.45,2.8874
272.98,2.8855
273.51,2.8836
274.04,2.8817
274.58,2.8798
275.12,2.8780
275.66,2.8763
276.20,2.8745
276.74,2.8728
277.29,2.8711
277.83,2.8695
278.38,2.8678
278.94,2.8662
279.49,2.8647
280.05,2.8631
280.61,2.8616
281.17,2.8602
281.73,2.8587
282.30,2.8573
282.86,2.8559
283.43,2.8545
284.01,2.8531
284.58,2.8518
285.16,2.8504
285.74,2.8491
286.32,2.8479
286.90,2.8466
287.49,2.8453
288.08,2.8441
288.67,2.8429
289.27,2.8417
289.86,2.8405
290.46,2.8393
291.06,2.8381
291.67,2.8370
292.27,2.8358
292.88,2.8346
293.49,2.8335
294.11,2.8323
294.72,2.8312
295.34,2.8300
295.96,2.8288
296.59,2.8276
297.21,2.8265
297.84,2.8253
298.48,2.8240
299.11,2.8228
299.75,2.8215
300.39,2.8203
301.03,2.8189
301.68,2.8176
302.33,2.8162
302.98,2.8147
303.63,2.8133
304.29,2.8117
304.95,2.8101
305.61,2.8084
306.28,2.8067
306.95,2.8049
307.62,2.8030
308.29,2.8009
308.97,2.7988
309.65,2.7966
310.33,2.7942
311.02,2.7917
311.71,2.7890
312.40,2.7862
313.10,2.7831
313.80,2.7799
314.50,2.7765
315.20,2.7729
315.91,2.7691
316.62,2.7650
317.34,2.7608
318.06,2.7563
318.78,2.7518
319.50,2.7471
320.23,2.7426
320.96,2.7382
321.69,2.7344
322.43,2.7312
323.17,2.7292
323.92,2.7287
324.66,2.7299
325.42,2.7333
326.17,2.7389
326.93,2.7467
327.69,2.7562
328.46,2.7671
329.23,2.7789
330.00,2.7916
330.77,2.8052
331.55,2.8201
332.34,2.8364
333.13,2.8536
333.92,2.8707
334.71,2.8864
335.51,2.8990
336.31,2.9078
337.12,2.9122
337.93,2.9126
338.74,2.9097
339.56,2.9042
340.38,2.8969
341.21,2.8885
342.04,2.8794
342.87,2.8699
343.71,2.8603
344.55,2.8508
345.40,2.8414
346.25,2.8322
347.11,2.8233
347.96,2.8147
348.83,2.8064
349.70,2.7984
350.57,2.7906
351.44,2.7832
352.32,2.7760
353.21,2.7690
354.10,2.7623
354.99,2.7557
355.89,2.7494
356.79,2.7433
357.70,2.7374
358.61,2.7317
359.53,2.7261
360.45,2.7207
361.38,2.7154
362.31,2.7102
363.25,2.7052
364.19,2.7003
365.13,2.6956
366.08,2.6909
367.04,2.6864
368.00,2.6819
368.97,2.6776
369.94,2.6733
370.91,2.6692
371.89,2.6651
372.88,2.6611
373.87,2.6571
374.87,2.6533
375.87,2.6495
376.88,2.6458
377.89,2.6421
378.91,2.6386
379.93,2.6350
380.96,2.6316
382.00,2.6281
383.04,2.6248
384.08,2.6215
385.14,2.6182
386.19,2.6150
387.26,2.6119
388.33,2.6087
389.40,2.6057
390.48,2.6026
391.57,2.5997
392.66,2.5967
393.76,2.5938
394.87,2.5909
395.98,2.5881
397.10,2.5853
398.22,2.5825
399.36,2.5798
400.49,2.5771
401.64,2.5744
402.79,2.5718
403.94,2.5692
405.11,2.5666
406.28,2.5641
407.46,2.5616
408.64,2.5591
409.83,2.5566
411.03,2.5542
412.23,2.5518
413.45,2.5494
414.67,2.5470
415.89,2.5447
417.13,2.5424
418.37,2.5401
419.62,2.5378
420.87,2.5356
422.14,2.5334
423.41,2.5312
424.68,2.5290
425.97,2.5268
427.27,2.5247
428.57,2.5226
429.88,2.5205
431.20,2.5184
432.52,2.5164
